Chicken Singapore Rice,Rs.120
Chicken Sherpa Rice,Rs.240
Chicken Thousand Rice,Rs.300
Chicken Chilli Rice,Rs.280
Chicken Malaysian Rice,Rs.300
Chicken Masala Rice,Rs.250
Chicken Italian Rice,Rs.350
Chicken Biryani Fried Rice,Rs.290
Chicken Cheese Rice,Rs.250
Chicken Sandwich Rice,Rs.240
Chicken Pizza Rice,Rs.270
